Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Bush,Spira B2 10 tablet,ac101box,1960MB,Tablet,Mediatek MT8163,1200x1920,240,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Bush,SPIRA B4 5,ac50fhe,900MB,Phone,Qualcomm MSM8909,720x1280,280,armeabi-v7a;armeabi,23,3.0
Bush,Spira B2 7 tablet,ac70ox,1940MB,Tablet,Mediatek MT8163,1200x1920,320,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Bush,SPIRA E3X 5.5,ac55di2plus,3883MB,Phone,Mediatek MT6755,1080x1920,420,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Bush,SPIRA B4 5.5,ac55bhe,900MB,Phone,Qualcomm MSM8909,720x1280,280,armeabi-v7a;armeabi,23,3.0
Bush,5 android,ac50cpl,953MB,Phone,Spreadtrum SC7731,720x1280,280,armeabi-v7a;armeabi,22,2.0
Bush,Spira D4 5.5,ac55bco,1915MB,Phone,Qualcomm MSM8909,720x1280,280,armeabi-v7a;armeabi,23,3.0
Bush,SPIRA B3 5,ac50co,927MB,Phone,Mediatek MT6735P,720x1280,320,armeabi-v7a;armeabi,23,3.0
Bush,BUSH SPIRA B3 8 TABLET,ac80oxv2,1960MB,Tablet,Mediatek MT8163,1200x1920,280,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Bush,BUSH SPIRA B5.5 POWER,ac55crp,878MB,Phone,Spreadtrum SC9832,720x1280,280,armeabi-v7a;armeabi,24,2.0
Bush,Spira E2X 5'',ac50dis,1928MB,Phone,Mediatek MT6753,720x1280,280,arm64-v8a;armeabi-v7a;armeabi,22,3.0
Bush,SPIRA D3 5.5,ac55diplus,1930MB,Phone,Mediatek MT6753,1080x1920,400,armeabi-v7a;armeabi,23,3.0
Bush,SPIRA E4X,ac55diselfie,3636MB,Phone,Qualcomm MSM8937,1080x1920,400,arm64-v8a;armeabi-v7a;armeabi,23,3.1
Bush,SPIRA D4 5,ac50bco,1915MB,Phone,Qualcomm MSM8909,720x1280,280,armeabi-v7a;armeabi,23,3.0
C5 Mobile,Noa X Power,noaXPower,2869MB,Phone,Mediatek MT6750,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2
C5 Mobile,NOATAB,NOATAB,981MB,Tablet,Rockchip RK3126C,1024x600,160,armeabi-v7a;armeabi,27,2.0
C5 Mobile,noa_G1,noa_G1,902MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Camfone,Hero_H5+,Hero_H5_Plus,884MB,Phone,Spreadtrum SC9850,480x960,240,armeabi-v7a;armeabi,27,3.2
Camfone,Honey Y1,Honey_Y1,1898MB,Phone,Mediatek MT6739WW,720x1440,320,armeabi-v7a;armeabi,27,3.2
Camfone,Hero_13,Hero_13,883MB,Phone,Spreadtrum SC9832E,480x960,240,armeabi-v7a;armeabi,27,3.2
Camfone,Hero 12,Hero_12,877MB,Phone,Spreadtrum SC9832E,720x1440,320,armeabi-v7a;armeabi,27,3.2
Camfone,Hero 11,Hero_11,957MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
Camfone,CamPad P7,CamPad_P7,1906MB,Phone,Mediatek MT8735,600x1024,213,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Camfone,Hero H7 Plus,Hero_H7_Plus,962MB,Phone,Mediatek MT8321,480x854,213,armeabi-v7a;armeabi,24,2.0
Camfone,Hero SE2,Hero_SE2,903MB,Phone,Spreadtrum SC9832E,720x1280,320,armeabi-v7a;armeabi,27,3.2
Camfone,Mega 10,Mega_10,897MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Camfone,Hero H9,Hero_H9,878MB,Phone,Spreadtrum SC9832,720x1280,320,armeabi-v7a;armeabi,24,2.0
Camfone,Hero X,Hero_X,896MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Camfone,Hero SE3 Max,Hero_SE3_Max,957MB,Phone,Mediatek MT6580,480x996,240,armeabi-v7a;armeabi,27,2.0
Camfone,Hero_SX,Hero_SX,438MB,Phone,Mediatek MT6580,480x800,240,armeabi-v7a;armeabi,27,2.0
Camfone,Hero_XR_Plus,Hero_XR_Plus,1796MB,Phone,Spreadtrum SC9832E,480x996,240,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Canguro,M75TG,M75TG,904MB,Tablet,Spreadtrum SC7731E,720x1280,160,armeabi-v7a;armeabi,27,3.2
Captiva,Pad 10 3G pLUS,Pad_10_3G_Plus,956MB,Tablet,Mediatek MT8321,800x1280,160,armeabi-v7a;armeabi,24,2.0
Carrefour,CT1050,TVE9603,877MB,Tablet,Intel Z3735F,800x1280,160,x86;armeabi-v7a;armeabi,21,3.1
Carrefour,CT735_16GB,CT735_16GB,983MB,Tablet,Rockchip RK3126,1024x600,160,armeabi-v7a;armeabi,27,2.0
Casio,IT-G400,itg400,1911MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,23,3.0
Casio,DT-X400,dtx400,1910MB,Phone,Qualcomm APQ8009,480x800,240,armeabi-v7a;armeabi,27,3.0
Casper,VIA_A1_Plus,BBL7551TC,3824MB,Phone,Mediatek MT6755M,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Casper,VIA_S10,VIA_S10,1984MB,Tablet,Mediatek MT8127,800x1280,213,armeabi-v7a;armeabi,24,2.0
Casper,VIA A3 Plus,VIA_A3_Plus,5775MB,Phone,Mediatek MT6771,1080x2246,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
